ID,pH,Temperature,Colour,Turbidity,Timestamp
74,8.02,25.24,115,34.56,2026-06-18T11:13:00
75,7.41,30.85,64,44.65,2026-06-18T11:14:00
76,7.48,29.55,104,13.64,2026-06-18T11:15:00
77,7.92,34.89,48,33.45,2026-06-18T11:16:00
78,7.52,22.55,71,30.65,2026-06-18T11:17:00
79,6.95,30.83,53,29.61,2026-06-18T11:18:00
80,7.12,37.72,75,43.26,2026-06-18T11:19:00
81,8.08,28.76,95,13.5,2026-06-18T11:20:00
82,7.48,22.44,139,26.91,2026-06-18T11:21:00
83,7.0,23.02,46,26.03,2026-06-18T11:22:00
84,8.05,34.48,54,21.15,2026-06-18T11:23:00
85,7.01,29.93,76,35.21,2026-06-18T11:24:00
86,8.27,27.29,122,41.09,2026-06-18T11:25:00
87,7.54,27.06,32,23.87,2026-06-18T11:26:00
88,7.6,31.03,98,44.9,2026-06-18T11:27:00
89,6.68,28.78,121,32.29,2026-06-18T11:28:00
90,8.15,33.14,91,34.84,2026-06-18T11:29:00
91,7.95,37.49,104,11.28,2026-06-18T11:30:00
92,7.48,30.81,106,25.37,2026-06-18T11:31:00
93,7.75,25.53,44,9.0,2026-06-18T11:32:00
94,7.98,28.67,72,21.59,2026-06-18T11:33:00
95,7.66,33.45,84,39.3,2026-06-18T11:34:00
96,7.99,33.26,52,33.4,2026-06-18T11:35:00
97,8.11,24.61,106,43.64,2026-06-18T11:36:00
98,6.92,31.6,50,24.36,2026-06-18T11:37:00
99,8.17,32.52,120,30.88,2026-06-18T11:38:00
100,7.74,31.57,33,33.57,2026-06-18T11:39:00
101,7.76,24.84,61,39.03,2026-06-18T11:40:00
102,8.02,30.16,77,22.93,2026-06-18T11:41:00
103,7.76,24.26,58,27.13,2026-06-18T11:42:00
104,7.96,32.47,45,28.93,2026-06-18T11:43:00
105,8.01,37.39,78,13.06,2026-06-18T11:44:00
106,7.41,24.22,120,33.44,2026-06-18T11:45:00
107,7.51,35.55,134,37.09,2026-06-18T11:46:00
108,8.03,25.16,106,23.81,2026-06-18T11:47:00
109,7.15,27.71,125,27.89,2026-06-18T11:48:00
110,7.37,33.33,69,21.78,2026-06-18T11:49:00
111,7.65,24.83,100,11.51,2026-06-18T11:50:00
112,7.84,23.92,67,33.73,2026-06-18T11:51:00
113,8.25,34.2,59,24.21,2026-06-18T11:52:00
114,6.78,33.99,58,30.27,2026-06-18T11:53:00
115,7.17,23.02,88,40.86,2026-06-18T11:54:00
116,7.92,23.22,64,27.04,2026-06-18T11:55:00
117,8.28,28.3,43,23.6,2026-06-18T11:56:00
118,7.65,37.07,82,23.55,2026-06-18T11:57:00
119,8.23,28.66,134,30.26,2026-06-18T11:58:00
120,7.6,34.74,77,25.11,2026-06-18T11:59:00
121,6.65,23.83,98,29.05,2026-06-18T12:00:00
122,6.9,35.83,51,22.14,2026-06-18T12:01:00
123,6.82,25.92,38,9.42,2026-06-18T12:02:00
124,7.43,26.42,54,41.92,2026-06-18T12:03:00
125,6.67,28.49,74,11.06,2026-06-18T12:04:00
126,7.22,35.77,115,36.71,2026-06-18T12:05:00
127,7.51,28.0,90,9.8,2026-06-18T12:06:00
128,7.9,36.22,136,42.8,2026-06-18T12:07:00
129,8.2,34.88,46,13.24,2026-06-18T12:08:00
130,8.21,29.76,77,31.7,2026-06-18T12:09:00
131,6.88,30.59,132,38.55,2026-06-18T12:10:00
132,7.77,23.49,47,24.8,2026-06-18T12:11:00
133,7.93,22.2,121,34.72,2026-06-18T12:12:00
134,8.32,30.29,37,40.7,2026-06-18T12:13:00
135,6.81,28.67,46,36.31,2026-06-18T12:14:00
136,7.41,28.69,129,31.53,2026-06-18T12:15:00
137,7.72,32.49,125,33.64,2026-06-18T12:16:00
138,7.88,22.4,68,23.4,2026-06-18T12:17:00
139,8.31,33.77,103,38.24,2026-06-18T12:18:00
140,7.55,27.18,64,12.8,2026-06-18T12:19:00
141,8.09,25.92,42,40.4,2026-06-18T12:20:00
142,8.11,37.27,94,38.2,2026-06-18T12:21:00
143,7.86,36.39,113,43.79,2026-06-18T12:22:00
144,6.85,30.48,65,16.77,2026-06-18T12:23:00
145,7.3,37.0,87,30.65,2026-06-18T12:24:00
146,6.83,28.44,58,12.8,2026-06-18T12:25:00
147,6.76,26.0,91,28.2,2026-06-18T12:26:00
148,7.16,36.73,132,13.28,2026-06-18T12:27:00
149,7.0,27.33,77,13.16,2026-06-18T12:28:00
150,6.6,29.83,123,37.75,2026-06-18T12:29:00
151,6.87,34.18,121,15.78,2026-06-18T12:30:00
152,6.76,33.89,50,16.26,2026-06-18T12:31:00
153,7.54,34.17,110,20.19,2026-06-18T12:32:00
154,7.47,31.79,127,12.84,2026-06-18T12:33:00
155,6.65,26.66,102,14.74,2026-06-18T12:34:00
156,8.26,36.26,70,34.26,2026-06-18T12:35:00
157,7.58,31.07,74,21.24,2026-06-18T12:36:00
158,7.83,30.53,64,17.06,2026-06-18T12:37:00
159,6.73,24.63,60,27.43,2026-06-18T12:38:00
160,7.46,32.94,123,31.57,2026-06-18T12:39:00
161,7.1,34.9,71,41.6,2026-06-18T12:40:00
162,8.17,25.27,115,44.44,2026-06-18T12:41:00
163,7.16,32.7,53,30.12,2026-06-18T12:42:00
164,8.33,26.81,137,18.01,2026-06-18T12:43:00
165,8.38,33.05,139,23.05,2026-06-18T12:44:00
166,6.7,27.07,114,31.91,2026-06-18T12:45:00
167,7.24,34.93,91,25.65,2026-06-18T12:46:00
168,7.42,37.48,103,27.22,2026-06-18T12:47:00
169,7.19,25.53,99,40.38,2026-06-18T12:48:00
170,7.4,23.0,98,42.26,2026-06-18T12:49:00
171,7.17,37.51,114,30.99,2026-06-18T12:50:00
172,8.4,25.6,87,27.7,2026-06-18T12:51:00
173,7.27,22.76,139,44.33,2026-06-18T12:52:00
174,7.6,24.1,60,24.73,2026-06-18T12:53:00
175,7.29,23.38,118,27.16,2026-06-18T12:54:00
176,7.94,25.36,92,38.42,2026-06-18T12:55:00
177,6.88,26.73,99,25.07,2026-06-18T12:56:00
178,6.92,25.09,31,31.39,2026-06-18T12:57:00
179,7.97,29.3,126,21.37,2026-06-18T12:58:00
180,7.07,29.9,91,19.67,2026-06-18T12:59:00
181,8.28,22.75,75,37.04,2026-06-18T13:00:00
182,7.58,34.9,74,16.78,2026-06-18T13:01:00
183,7.67,22.14,132,23.52,2026-06-18T13:02:00
184,6.78,34.45,34,35.18,2026-06-18T13:03:00
185,7.51,31.04,132,38.03,2026-06-18T13:04:00
186,6.91,34.07,102,37.35,2026-06-18T13:05:00
187,8.29,27.97,116,28.71,2026-06-18T13:06:00
188,7.92,35.93,87,27.43,2026-06-18T13:07:00
189,6.78,30.51,100,44.17,2026-06-18T13:08:00
190,6.98,22.52,67,12.06,2026-06-18T13:09:00
191,7.78,26.29,87,36.32,2026-06-18T13:10:00
192,7.37,23.77,42,32.31,2026-06-18T13:11:00
193,6.62,28.65,49,41.53,2026-06-18T13:12:00
194,7.74,30.1,39,30.88,2026-06-18T13:13:00
195,8.26,31.24,130,29.01,2026-06-18T13:14:00
196,8.11,33.98,48,10.97,2026-06-18T13:15:00
197,7.1,35.33,103,9.18,2026-06-18T13:16:00
198,7.27,27.72,126,27.98,2026-06-18T13:17:00
199,8.34,25.85,102,24.88,2026-06-18T13:18:00
200,7.23,33.36,57,22.96,2026-06-18T13:19:00
201,7.13,37.84,33,24.06,2026-06-18T13:20:00
202,7.89,34.78,97,11.33,2026-06-18T13:21:00
203,8.33,28.82,84,21.91,2026-06-18T13:22:00
204,7.94,37.64,30,23.73,2026-06-18T13:23:00
205,8.28,34.43,46,28.93,2026-06-18T13:24:00
206,7.78,23.83,48,44.37,2026-06-18T13:25:00
207,6.7,24.22,68,23.98,2026-06-18T13:26:00
208,7.41,27.98,131,11.57,2026-06-18T13:27:00
209,7.7,32.8,35,20.01,2026-06-18T13:28:00
210,7.71,37.3,122,39.99,2026-06-18T13:29:00
211,7.63,34.08,78,25.87,2026-06-18T13:30:00
212,8.28,32.37,114,43.62,2026-06-18T13:31:00
213,6.97,32.51,80,30.66,2026-06-18T13:32:00
214,7.77,32.94,86,16.17,2026-06-18T13:33:00
215,7.46,25.35,105,34.25,2026-06-18T13:34:00
216,7.1,31.4,97,33.98,2026-06-18T13:35:00
217,7.31,37.38,79,40.58,2026-06-18T13:36:00
218,6.98,34.85,54,8.59,2026-06-18T13:37:00
219,7.96,37.31,43,41.55,2026-06-18T13:38:00
220,6.82,31.4,40,32.0,2026-06-18T13:39:00
221,7.63,22.1,77,43.35,2026-06-18T13:40:00
222,7.91,23.2,47,20.89,2026-06-18T13:41:00
223,7.44,29.87,111,23.72,2026-06-18T13:42:00
224,7.74,34.78,128,41.02,2026-06-18T13:43:00
225,6.91,26.73,60,42.17,2026-06-18T13:44:00
226,8.35,31.79,89,18.67,2026-06-18T13:45:00
227,7.95,28.12,79,11.84,2026-06-18T13:46:00
228,7.76,37.01,129,29.88,2026-06-18T13:47:00
229,6.76,28.74,65,29.16,2026-06-18T13:48:00
230,7.87,22.31,32,26.79,2026-06-18T13:49:00
231,7.98,36.88,55,33.64,2026-06-18T13:50:00
232,8.34,25.97,98,33.46,2026-06-18T13:51:00
233,8.1,33.01,110,22.54,2026-06-18T13:52:00
234,7.12,26.3,131,39.05,2026-06-18T13:53:00
235,8.25,32.25,79,25.64,2026-06-18T13:54:00
236,7.24,22.34,101,9.33,2026-06-18T13:55:00
237,8.1,24.99,131,22.14,2026-06-18T13:56:00
238,8.12,29.88,98,39.92,2026-06-18T13:57:00
239,7.85,27.33,71,25.49,2026-06-18T13:58:00
240,8.35,36.42,48,9.01,2026-06-18T13:59:00
241,7.91,29.99,36,40.07,2026-06-18T14:00:00
242,8.24,26.86,31,29.09,2026-06-18T14:01:00
243,7.46,28.4,123,41.98,2026-06-18T14:02:00
244,6.71,36.07,140,17.33,2026-06-18T14:03:00
245,7.96,29.16,133,16.15,2026-06-18T14:04:00
246,6.6,23.38,122,29.43,2026-06-18T14:05:00
247,6.84,24.81,30,9.55,2026-06-18T14:06:00
248,7.97,31.27,119,34.61,2026-06-18T14:07:00
249,6.98,31.95,110,20.8,2026-06-18T14:08:00
250,8.19,30.71,104,17.38,2026-06-18T14:09:00
251,8.34,30.39,124,37.89,2026-06-18T14:10:00
252,6.95,31.95,101,10.39,2026-06-18T14:11:00
253,6.78,24.72,45,40.49,2026-06-18T14:12:00
254,7.87,27.16,41,32.71,2026-06-18T14:13:00
255,6.82,31.6,61,29.52,2026-06-18T14:14:00
256,7.01,28.55,120,11.86,2026-06-18T14:15:00
257,7.55,29.83,62,23.72,2026-06-18T14:16:00
258,7.89,22.63,46,41.43,2026-06-18T14:17:00
259,7.2,35.45,107,12.87,2026-06-18T14:18:00
260,7.85,28.75,101,41.42,2026-06-18T14:19:00
261,7.18,26.49,56,22.14,2026-06-18T14:20:00
262,7.96,27.13,33,29.66,2026-06-18T14:21:00
263,8.25,25.21,100,43.19,2026-06-18T14:22:00
264,7.47,30.25,105,11.03,2026-06-18T14:23:00
265,8.04,34.82,80,19.55,2026-06-18T14:24:00
266,6.82,33.95,70,31.67,2026-06-18T14:25:00
267,7.57,33.44,113,8.44,2026-06-18T14:26:00
268,6.98,22.29,45,42.01,2026-06-18T14:27:00
269,7.65,22.09,53,39.24,2026-06-18T14:28:00
270,7.48,25.15,37,43.36,2026-06-18T14:29:00
271,6.72,28.51,124,32.3,2026-06-18T14:30:00
272,7.04,31.79,34,30.43,2026-06-18T14:31:00
273,6.67,23.31,97,33.19,2026-06-18T14:32:00
274,8.4,35.21,84,16.31,2026-06-18T14:33:00
275,7.27,23.22,57,42.4,2026-06-18T14:34:00
276,7.22,30.33,78,21.16,2026-06-18T14:35:00
277,6.95,27.01,32,10.78,2026-06-18T14:36:00
278,6.69,30.06,53,26.28,2026-06-18T14:37:00
279,7.15,30.24,78,20.28,2026-06-18T14:38:00
280,7.19,35.65,70,40.28,2026-06-18T14:39:00
281,8.23,30.16,86,19.07,2026-06-18T14:40:00
282,7.03,24.58,60,14.3,2026-06-18T14:41:00
283,6.7,24.76,84,15.04,2026-06-18T14:42:00
284,7.38,33.72,75,19.46,2026-06-18T14:43:00
285,7.84,24.46,79,21.71,2026-06-18T14:44:00
286,7.19,33.06,57,17.11,2026-06-18T14:45:00
287,7.32,22.27,136,31.18,2026-06-18T14:46:00
288,7.7,23.71,82,40.33,2026-06-18T14:47:00
289,7.86,25.98,139,34.31,2026-06-18T14:48:00
290,6.81,30.13,139,8.98,2026-06-18T14:49:00
291,8.12,22.71,85,44.33,2026-06-18T14:50:00
292,8.24,34.02,84,10.39,2026-06-18T14:51:00
293,8.24,28.3,119,38.77,2026-06-18T14:52:00
294,6.67,34.79,103,8.12,2026-06-18T14:53:00
295,7.09,27.98,74,14.0,2026-06-18T14:54:00
296,7.21,28.96,132,21.04,2026-06-18T14:55:00
297,8.39,22.58,55,15.69,2026-06-18T14:56:00
298,7.83,31.51,116,19.56,2026-06-18T14:57:00
299,6.94,30.49,122,29.99,2026-06-18T14:58:00
300,7.47,24.43,71,20.27,2026-06-18T14:59:00
301,7.57,36.23,89,17.92,2026-06-18T15:00:00
302,7.06,36.04,133,19.77,2026-06-18T15:01:00
303,8.37,23.88,139,39.21,2026-06-18T15:02:00
304,6.9,32.19,35,39.02,2026-06-18T15:03:00
305,8.06,35.86,121,35.7,2026-06-18T15:04:00
306,8.28,25.16,68,36.16,2026-06-18T15:05:00
307,7.2,31.0,65,24.61,2026-06-18T15:06:00
308,7.96,36.05,83,40.88,2026-06-18T15:07:00
309,8.0,24.6,49,32.72,2026-06-18T15:08:00
310,7.7,35.59,123,18.17,2026-06-18T15:09:00
311,7.44,22.67,123,18.12,2026-06-18T15:10:00
312,7.37,28.55,98,29.09,2026-06-18T15:11:00
313,7.67,24.3,101,28.56,2026-06-18T15:12:00
314,8.01,22.86,53,27.02,2026-06-18T15:13:00
315,6.85,30.21,42,33.54,2026-06-18T15:14:00
316,8.27,23.26,89,26.48,2026-06-18T15:15:00
317,6.79,27.82,94,26.88,2026-06-18T15:16:00
318,7.37,24.59,80,17.89,2026-06-18T15:17:00
319,7.87,25.38,112,41.53,2026-06-18T15:18:00
320,6.84,36.79,95,34.45,2026-06-18T15:19:00
321,7.13,37.79,48,21.06,2026-06-18T15:20:00
322,7.24,29.19,35,38.52,2026-06-18T15:21:00
323,8.12,27.84,133,41.76,2026-06-18T15:22:00
324,8.37,24.97,51,11.9,2026-06-18T15:23:00
325,7.62,32.1,60,22.97,2026-06-18T15:24:00
326,7.36,25.67,35,44.74,2026-06-18T15:25:00
327,7.77,24.52,36,34.47,2026-06-18T15:26:00
328,8.38,29.07,53,21.39,2026-06-18T15:27:00
329,8.26,23.3,139,13.02,2026-06-18T15:28:00
330,7.05,24.95,82,14.42,2026-06-18T15:29:00
331,7.89,22.35,54,22.68,2026-06-18T15:30:00
332,8.36,29.35,136,44.99,2026-06-18T15:31:00
333,7.05,27.68,138,11.55,2026-06-18T15:32:00
334,7.5,34.17,34,24.45,2026-06-18T15:33:00
335,7.83,23.59,69,13.89,2026-06-18T15:34:00
336,7.72,36.34,65,41.18,2026-06-18T15:35:00
337,7.06,28.26,140,38.42,2026-06-18T15:36:00
338,8.18,37.02,114,26.18,2026-06-18T15:37:00
339,8.26,22.61,86,36.85,2026-06-18T15:38:00
340,8.28,30.87,59,21.57,2026-06-18T15:39:00
341,7.43,36.27,38,42.11,2026-06-18T15:40:00
342,7.68,34.55,74,18.06,2026-06-18T15:41:00
343,7.05,32.58,124,30.21,2026-06-18T15:42:00
344,7.7,27.89,119,31.19,2026-06-18T15:43:00
345,7.12,27.71,38,8.37,2026-06-18T15:44:00
346,8.22,27.14,69,44.18,2026-06-18T15:45:00
347,7.43,25.84,80,21.17,2026-06-18T15:46:00
348,6.87,27.73,85,28.43,2026-06-18T15:47:00
349,8.24,33.7,73,21.98,2026-06-18T15:48:00
350,8.02,24.39,50,30.61,2026-06-18T15:49:00
351,7.7,25.0,82,38.9,2026-06-18T15:50:00
352,7.24,33.51,118,20.09,2026-06-18T15:51:00
353,7.76,28.97,78,24.08,2026-06-18T15:52:00
354,8.06,36.95,84,44.72,2026-06-18T15:53:00
355,7.13,35.85,113,25.56,2026-06-18T15:54:00
356,8.31,24.2,41,32.11,2026-06-18T15:55:00
357,8.29,22.46,64,37.53,2026-06-18T15:56:00
358,7.58,22.24,85,30.27,2026-06-18T15:57:00
359,7.77,26.41,66,41.27,2026-06-18T15:58:00
360,7.01,35.23,140,20.55,2026-06-18T15:59:00
361,6.99,31.99,92,39.75,2026-06-18T16:00:00
362,7.57,33.04,119,33.54,2026-06-18T16:01:00
363,7.4,30.84,135,24.45,2026-06-18T16:02:00
364,7.02,28.46,106,26.95,2026-06-18T16:03:00
365,7.51,34.47,120,10.53,2026-06-18T16:04:00
366,7.29,28.18,53,38.15,2026-06-18T16:05:00
367,7.39,31.49,73,8.96,2026-06-18T16:06:00
368,7.06,23.66,49,13.12,2026-06-18T16:07:00
369,8.38,26.81,123,41.98,2026-06-18T16:08:00
370,8.1,29.99,70,8.65,2026-06-18T16:09:00
371,7.47,29.31,114,28.24,2026-06-18T16:10:00
372,8.03,24.53,103,27.54,2026-06-18T16:11:00
373,7.34,32.06,89,19.72,2026-06-18T16:12:00
374,7.37,37.85,79,15.93,2026-06-18T16:13:00
375,7.32,33.24,72,39.5,2026-06-18T16:14:00
376,7.61,31.97,137,13.47,2026-06-18T16:15:00
377,6.66,34.51,92,24.5,2026-06-18T16:16:00
378,7.91,29.6,51,43.33,2026-06-18T16:17:00
379,7.54,35.37,112,40.7,2026-06-18T16:18:00
380,7.86,29.63,99,25.8,2026-06-18T16:19:00
381,8.17,22.46,115,31.7,2026-06-18T16:20:00
382,7.17,25.88,70,28.14,2026-06-18T16:21:00
383,8.17,25.15,89,27.81,2026-06-18T16:22:00
384,8.09,36.71,37,13.07,2026-06-18T16:23:00
385,8.1,35.33,127,42.02,2026-06-18T16:24:00
386,7.48,22.1,77,27.73,2026-06-18T16:25:00
387,8.0,28.09,52,40.17,2026-06-18T16:26:00
388,8.32,22.45,133,43.57,2026-06-18T16:27:00
389,8.33,32.97,38,36.01,2026-06-18T16:28:00
390,6.93,37.72,47,21.38,2026-06-18T16:29:00
391,8.37,32.78,74,16.09,2026-06-18T16:30:00
392,8.13,35.14,49,16.98,2026-06-18T16:31:00
393,7.29,34.76,111,15.95,2026-06-18T16:32:00
394,7.44,34.35,81,14.43,2026-06-18T16:33:00
395,6.67,24.06,44,37.35,2026-06-18T16:34:00
396,7.38,27.8,38,19.94,2026-06-18T16:35:00
397,7.26,31.13,139,27.63,2026-06-18T16:36:00
398,7.31,31.5,137,39.27,2026-06-18T16:37:00
399,8.05,28.62,32,27.66,2026-06-18T16:38:00
400,8.02,31.33,124,27.43,2026-06-18T16:39:00
401,6.98,30.51,123,28.53,2026-06-18T16:40:00
402,7.42,35.39,35,32.84,2026-06-18T16:41:00
403,7.34,29.01,33,16.27,2026-06-18T16:42:00
404,8.27,28.92,90,34.77,2026-06-18T16:43:00
405,6.89,32.53,99,35.58,2026-06-18T16:44:00
406,8.12,28.61,72,34.48,2026-06-18T16:45:00
407,7.62,23.58,37,20.5,2026-06-18T16:46:00
408,8.35,32.42,61,33.21,2026-06-18T16:47:00
409,7.74,28.85,54,44.81,2026-06-18T16:48:00
410,7.93,26.43,132,26.15,2026-06-18T16:49:00
411,6.99,33.36,61,27.1,2026-06-18T16:50:00
412,7.73,23.34,79,40.5,2026-06-18T16:51:00
413,6.96,29.6,134,32.13,2026-06-18T16:52:00
414,6.74,29.66,64,19.35,2026-06-18T16:53:00
415,7.3,36.09,41,8.74,2026-06-18T16:54:00
416,7.42,28.6,87,38.88,2026-06-18T16:55:00
417,6.95,37.88,138,15.81,2026-06-18T16:56:00
418,6.95,31.78,74,8.03,2026-06-18T16:57:00
419,7.66,29.24,67,28.52,2026-06-18T16:58:00
420,7.05,36.35,137,38.85,2026-06-18T16:59:00
421,7.69,22.71,48,23.08,2026-06-18T17:00:00
422,6.62,26.46,106,19.52,2026-06-18T17:01:00
423,7.05,28.49,89,44.21,2026-06-18T17:02:00
424,6.71,31.56,125,11.14,2026-06-18T17:03:00
425,7.6,25.37,59,32.64,2026-06-18T17:04:00
426,8.04,27.0,42,33.88,2026-06-18T17:05:00
427,7.47,29.95,117,9.25,2026-06-18T17:06:00
428,8.28,24.23,115,10.38,2026-06-18T17:07:00
429,6.69,35.38,45,30.64,2026-06-18T17:08:00
430,6.9,23.43,115,28.06,2026-06-18T17:09:00
431,7.06,37.6,109,37.67,2026-06-18T17:10:00
432,6.76,28.45,51,26.17,2026-06-18T17:11:00
433,7.55,29.23,80,11.88,2026-06-18T17:12:00
434,7.76,31.93,32,13.99,2026-06-18T17:13:00
435,6.67,25.1,40,9.15,2026-06-18T17:14:00
436,8.15,26.34,53,14.2,2026-06-18T17:15:00
437,6.89,22.15,140,32.65,2026-06-18T17:16:00
438,8.07,34.82,133,13.77,2026-06-18T17:17:00
439,7.42,30.85,68,13.33,2026-06-18T17:18:00
440,6.76,30.93,111,35.96,2026-06-18T17:19:00
441,8.14,31.99,117,22.58,2026-06-18T17:20:00
442,6.88,30.67,47,27.41,2026-06-18T17:21:00
443,8.18,29.61,97,17.52,2026-06-18T17:22:00
444,7.74,30.65,83,8.41,2026-06-18T17:23:00
445,7.08,37.69,100,43.65,2026-06-18T17:24:00
446,8.04,29.56,134,34.37,2026-06-18T17:25:00
447,6.98,26.22,130,40.8,2026-06-18T17:26:00
448,8.32,30.57,45,37.48,2026-06-18T17:27:00
449,6.69,37.86,103,35.49,2026-06-18T17:28:00
450,7.43,34.96,34,30.74,2026-06-18T17:29:00
451,8.28,36.25,56,15.69,2026-06-18T17:30:00
452,7.29,36.26,78,13.27,2026-06-18T17:31:00
453,8.19,24.93,131,41.42,2026-06-18T17:32:00
454,8.18,28.51,97,43.27,2026-06-18T17:33:00
455,6.77,34.77,67,15.89,2026-06-18T17:34:00
456,8.12,31.63,39,12.84,2026-06-18T17:35:00
457,8.28,26.2,85,18.76,2026-06-18T17:36:00
458,7.47,32.24,88,17.23,2026-06-18T17:37:00
459,7.9,23.01,37,21.88,2026-06-18T17:38:00
460,6.91,23.26,38,43.63,2026-06-18T17:39:00
461,7.34,23.54,39,17.35,2026-06-18T17:40:00
462,6.82,28.42,53,29.6,2026-06-18T17:41:00
463,8.21,31.75,54,9.39,2026-06-18T17:42:00
464,7.45,36.45,124,38.28,2026-06-18T17:43:00
465,6.75,26.1,43,28.24,2026-06-18T17:44:00
466,7.12,35.8,84,26.73,2026-06-18T17:45:00
467,7.32,30.14,95,35.17,2026-06-18T17:46:00
468,6.78,26.62,134,21.31,2026-06-18T17:47:00
469,7.69,22.09,131,16.34,2026-06-18T17:48:00
470,8.19,25.24,113,27.69,2026-06-18T17:49:00
471,7.44,36.38,105,17.04,2026-06-18T17:50:00
472,6.68,22.38,51,32.96,2026-06-18T17:51:00
473,6.69,34.68,59,18.47,2026-06-18T17:52:00
474,7.38,27.44,94,24.32,2026-06-18T17:53:00
475,6.75,33.84,62,13.52,2026-06-18T17:54:00
476,7.87,35.84,120,24.0,2026-06-18T17:55:00
477,8.13,23.27,66,12.26,2026-06-18T17:56:00
478,6.99,28.92,114,25.08,2026-06-18T17:57:00
479,8.2,37.15,94,19.38,2026-06-18T17:58:00
480,7.94,26.95,110,27.26,2026-06-18T17:59:00
